Geography,Code,Date,Units,Metric,variable,value
United Kingdom,K02000001,2018,Thousands,Vehicles with 2 changes,HGVs,4.89
United Kingdom,K02000001,2019,Thousands,Vehicles with 2 changes,HGVs,4.63
United Kingdom,K02000001,2020,Thousands,Vehicles with 2 changes,HGVs,4.66
United Kingdom,K02000001,2021,Thousands,Vehicles with 2 changes,HGVs,5.86
United Kingdom,K02000001,2022,Thousands,Vehicles with 2 changes,HGVs,4.73
United Kingdom,K02000001,2010,Thousands,Vehicles with 3 changes,HGVs,2.23
United Kingdom,K02000001,2011,Thousands,Vehicles with 3 changes,HGVs,1.52
United Kingdom,K02000001,2012,Thousands,Vehicles with 3 changes,HGVs,0.73
United Kingdom,K02000001,2013,Thousands,Vehicles with 3 changes,HGVs,0.29
United Kingdom,K02000001,2014,Thousands,Vehicles with 3 changes,HGVs,0.2
United Kingdom,K02000001,2015,Thousands,Vehicles with 3 changes,HGVs,0.3
United Kingdom,K02000001,2016,Thousands,Vehicles with 3 changes,HGVs,0.27
United Kingdom,K02000001,2017,Thousands,Vehicles with 3 changes,HGVs,0.28
United Kingdom,K02000001,2018,Thousands,Vehicles with 3 changes,HGVs,0.37
United Kingdom,K02000001,2019,Thousands,Vehicles with 3 changes,HGVs,0.3
United Kingdom,K02000001,2020,Thousands,Vehicles with 3 changes,HGVs,0.33
United Kingdom,K02000001,2021,Thousands,Vehicles with 3 changes,HGVs,0.48
United Kingdom,K02000001,2022,Thousands,Vehicles with 3 changes,HGVs,0.35
United Kingdom,K02000001,2010,Thousands,Vehicles with 4 changes,HGVs,0.83
United Kingdom,K02000001,2011,Thousands,Vehicles with 4 changes,HGVs,0.51
United Kingdom,K02000001,2012,Thousands,Vehicles with 4 changes,HGVs,0.17
United Kingdom,K02000001,2013,Thousands,Vehicles with 4 changes,HGVs,0.03
United Kingdom,K02000001,2014,Thousands,Vehicles with 4 changes,HGVs,0.02
United Kingdom,K02000001,2015,Thousands,Vehicles with 4 changes,HGVs,0.02
United Kingdom,K02000001,2016,Thousands,Vehicles with 4 changes,HGVs,0.02
United Kingdom,K02000001,2017,Thousands,Vehicles with 4 changes,HGVs,0.01
United Kingdom,K02000001,2018,Thousands,Vehicles with 4 changes,HGVs,0.02
United Kingdom,K02000001,2019,Thousands,Vehicles with 4 changes,HGVs,0.02
United Kingdom,K02000001,2020,Thousands,Vehicles with 4 changes,HGVs,0.02
United Kingdom,K02000001,2021,Thousands,Vehicles with 4 changes,HGVs,0.03
United Kingdom,K02000001,2022,Thousands,Vehicles with 4 changes,HGVs,0.03
